ID_Pedido;Fecha_Pedido;Fecha_Envio;Modo_Envio;Estado_Pedido;ID_Detalle;ID_Producto;Cantidad;Descuento;Ventas;Ganancia;Nombre_Producto;Categoria;Subcategoria;Marca;Precio_Lista;Costo_Unitario;Nombre_Campania;Canal_Marketing;Ingreso_Neto;Venta_Promedio_Unidad;Mes_Pedido;Dias_Envio
ORD-2023-00001;2025-03-31;2025-04-04;estándar;completado;1;P0082;1;0.00;590.86;322.42;papelería eco 2;oficina;papelería;orion;590.86;268.44;sin dato;sin dato;590.86;590.86;3;4
ORD-2023-00001;2025-03-31;2025-04-04;estándar;completado;2;P0119;7;0.00;4341.68;1907.85;sobres plus 9;oficina;sobres;andes;620.24;347.69;sin dato;sin dato;4341.68;620.24;3;4
ORD-2023-00001;2025-03-31;2025-04-04;estándar;completado;3;P0048;2;0.00;1250.86;281.32;sillas plus 8;muebles;sillas;orion;625.43;484.77;sin dato;sin dato;1250.86;625.43;3;4
ORD-2023-00001;2025-03-31;2025-04-04;estándar;completado;4;P0079;5;0.00;244.35;64.85;almacenamiento nova 9;muebles;almacenamiento;alerce;48.87;35.90;sin dato;sin dato;244.35;48.87;3;4
ORD-2023-00002;2024-03-25;2024-03-25;segunda clase;completado;5;P0087;1;0.15;629.31;115.33;papelería flex 7;oficina;papelería;andes;740.37;525.57;campaña cliente vip 5;display;534.91;629.31;3;0
ORD-2023-00002;2024-03-25;2024-03-25;segunda clase;completado;6;P0021;2;0.10;1429.92;529.33;computadores plus 1;tecnología;computadores;andes;794.40;441.41;campaña cliente vip 5;display;1286.93;714.96;3;0
ORD-2023-00003;2024-02-20;2024-02-24;estándar;completado;7;P0093;6;0.15;3186.84;1333.80;archivadores flex 3;oficina;archivadores;vector;624.87;291.47;campaña cliente vip 1;email;2708.81;531.14;2;4
ORD-2023-00003;2024-02-20;2024-02-24;estándar;completado;8;P0029;4;0.30;787.14;-68.77;computadores eco 9;tecnología;computadores;patagonia;281.12;199.48;campaña cliente vip 1;email;551.00;196.78;2;4
ORD-2023-00003;2024-02-20;2024-02-24;estándar;completado;9;P0034;3;0.20;1007.23;179.29;periféricos flex 4;tecnología;periféricos;orion;419.68;275.77;campaña cliente vip 1;email;805.78;335.74;2;4
ORD-2023-00004;2023-10-29;2023-10-31;primera clase;enviado;10;P0089;8;0.20;2247.17;378.49;papelería plus 9;oficina;papelería;vector;351.12;231.81;sin dato;sin dato;1797.74;280.90;10;2
ORD-2023-00004;2023-10-29;2023-10-31;primera clase;enviado;11;P0097;6;0.30;1121.57;-167.29;archivadores smart 7;oficina;archivadores;altura;267.04;208.99;sin dato;sin dato;785.10;186.93;10;2
ORD-2023-00004;2023-10-29;2023-10-31;primera clase;enviado;12;P0062;2;0.10;838.22;383.39;libreros plus 2;muebles;libreros;vector;465.68;235.47;sin dato;sin dato;754.40;419.11;10;2
ORD-2023-00005;2025-03-30;2025-04-01;estándar;completado;13;P0032;5;0.00;3617.95;1085.70;periféricos eco 2;tecnología;periféricos;vector;723.59;506.45;campaña ahorro 6;afiliados;3617.95;723.59;3;2
ORD-2023-00005;2025-03-30;2025-04-01;estándar;completado;14;P0010;3;0.30;1423.97;-21.81;accesorios nova 10;tecnología;accesorios;andes;678.08;497.07;campaña ahorro 6;afiliados;996.78;474.66;3;2
ORD-2023-00005;2025-03-30;2025-04-01;estándar;completado;15;P0115;5;0.00;659.35;228.20;sobres pro 5;oficina;sobres;alerce;131.87;86.23;campaña ahorro 6;afiliados;659.35;131.87;3;2
ORD-2023-00006;2025-01-24;2025-01-25;segunda clase;enviado;16;P0107;4;0.15;263.33;99.88;etiquetas pro 7;oficina;etiquetas;orion;77.45;42.46;campaña activa 4;afiliados;223.83;65.83;1;1
ORD-2023-00006;2025-01-24;2025-01-25;segunda clase;enviado;17;P0016;2;0.30;1091.02;304.33;teléfonos pro 6;tecnología;teléfonos;orion;779.30;382.70;campaña activa 4;afiliados;763.71;545.51;1;1
ORD-2023-00007;2024-01-16;2024-01-20;primera clase;completado;18;P0097;3;0.00;801.12;174.15;archivadores smart 7;oficina;archivadores;altura;267.04;208.99;campaña cliente vip 5;display;801.12;267.04;1;4
ORD-2023-00007;2024-01-16;2024-01-20;primera clase;completado;19;P0062;1;0.15;395.83;163.33;libreros plus 2;muebles;libreros;vector;465.68;235.47;campaña cliente vip 5;display;336.46;395.83;1;4
ORD-2023-00008;2023-05-04;2023-05-09;estándar;completado;20;P0049;2;0.15;491.50;72.41;sillas smart 9;muebles;sillas;orion;289.12;211.95;sin dato;sin dato;417.77;245.75;5;5
ORD-2023-00008;2023-05-04;2023-05-09;estándar;completado;21;P0024;5;0.05;3834.91;1839.18;computadores nova 4;tecnología;computadores;vector;807.35;402.87;sin dato;sin dato;3643.16;766.98;5;5
ORD-2023-00009;2023-07-08;2023-07-11;primera clase;completado;22;P0036;8;0.00;7017.60;3651.12;periféricos nova 6;tecnología;periféricos;patagonia;877.20;420.81;campaña ahorro 7;afiliados;7017.60;877.20;7;3
ORD-2023-00009;2023-07-08;2023-07-11;primera clase;completado;23;P0105;2;0.10;467.06;214.53;etiquetas pro 5;oficina;etiquetas;lumen;259.48;123.11;campaña ahorro 7;afiliados;420.35;233.53;7;3
ORD-2023-00009;2023-07-08;2023-07-11;primera clase;completado;24;P0110;7;0.05;401.13;159.54;etiquetas nova 10;oficina;etiquetas;orion;60.32;34.94;campaña ahorro 7;afiliados;381.07;57.30;7;3
ORD-2023-00009;2023-07-08;2023-07-11;primera clase;completado;25;P0061;1;0.00;875.36;411.61;libreros plus 1;muebles;libreros;altura;875.36;463.75;campaña ahorro 7;afiliados;875.36;875.36;7;3
ORD-2023-00010;2024-06-30;2024-07-05;estándar;completado;26;P0089;3;0.00;1053.36;357.93;papelería plus 9;oficina;papelería;vector;351.12;231.81;campaña outlet 8;búsqueda;1053.36;351.12;6;5
ORD-2023-00011;2024-10-06;2024-10-06;primera clase;completado;27;P0045;1;0.20;427.92;52.49;sillas eco 5;muebles;sillas;lumen;534.90;391.64;campaña ahorro 6;afiliados;342.34;427.92;10;0
ORD-2023-00011;2024-10-06;2024-10-06;primera clase;completado;28;P0074;3;0.10;1113.78;338.70;almacenamiento smart 4;muebles;almacenamiento;lumen;412.51;260.75;campaña ahorro 6;afiliados;1002.40;371.26;10;0
ORD-2023-00011;2024-10-06;2024-10-06;primera clase;completado;29;P0100;8;0.00;420.96;114.48;archivadores smart 10;oficina;archivadores;andes;52.62;38.31;campaña ahorro 6;afiliados;420.96;52.62;10;0
ORD-2023-00012;2024-10-08;2024-10-09;primera clase;completado;30;P0109;2;0.00;1527.58;408.94;etiquetas smart 9;oficina;etiquetas;patagonia;763.79;559.32;sin dato;sin dato;1527.58;763.79;10;1
ORD-2023-00012;2024-10-08;2024-10-09;primera clase;completado;31;P0041;6;0.10;834.41;223.18;sillas eco 1;muebles;sillas;vector;154.52;100.57;sin dato;sin dato;750.97;139.07;10;1
ORD-2023-00012;2024-10-08;2024-10-09;primera clase;completado;32;P0035;8;0.15;5200.03;798.96;periféricos nova 5;tecnología;periféricos;orion;764.71;538.76;sin dato;sin dato;4420.03;650.00;10;1
ORD-2023-00012;2024-10-08;2024-10-09;primera clase;completado;33;P0053;3;0.00;1112.13;396.00;mesas eco 3;muebles;mesas;alerce;370.71;238.71;sin dato;sin dato;1112.13;370.71;10;1
ORD-2023-00013;2024-11-08;2024-11-10;estándar;completado;34;P0051;2;0.00;189.76;72.52;mesas smart 1;muebles;mesas;orion;94.88;58.62;sin dato;sin dato;189.76;94.88;11;2
